Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Butch Carter,24.0,IND,SG,81.0,28.0,21.2,4.4,8.7,50.57471264367817,0.2,0.6,33.333333333333336,4.2,8.1,51.85185185185186,51.724137931034484,1.5,1.9,78.94736842105263,0.8,1.1,1.9,2.4,1.0,0.2,1.5,2.6,10.5,No Awards,1982-83
John Long,26.0,DET,SG,70.0,30.0,21.2,4.5,9.9,45.45454545454545,0.0,0.1,0.0,4.4,9.8,44.89795918367347,45.45454545454545,1.6,2.1,76.19047619047619,0.8,1.8,2.6,1.5,0.6,0.2,2.1,1.9,10.5,No Awards,1982-83
Kyle Macy,25.0,PHO,PG,82.0,9.0,22.4,4.0,7.7,51.94805194805194,0.3,0.9,33.33333333333333,3.7,6.8,54.41176470588236,53.896103896103895,1.6,1.8,88.8888888888889,0.5,1.5,2.0,3.4,0.8,0.1,1.1,1.6,9.9,No Awards,1982-83
Billy McKinney,27.0,DEN,PG,68.0,38.0,22.9,3.9,8.0,48.75,0.0,0.1,0.0,3.9,7.9,49.36708860759494,48.75,2.0,2.5,80.0,0.3,1.5,1.8,4.2,0.6,0.1,1.5,2.1,9.8,No Awards,1982-83
Phil Hubbard,26.0,CLE,SF,82.0,38.0,23.8,3.5,7.3,47.945205479452056,0.0,0.0,0.0,3.5,7.3,47.945205479452056,47.945205479452056,2.5,3.6,69.44444444444444,2.7,3.0,5.7,1.1,1.1,0.1,1.9,3.3,9.5,No Awards,1982-83
Bobby Jones,31.0,PHI,PF,74.0,0.0,23.6,3.4,6.2,54.83870967741935,0.0,0.0,0.0,3.4,6.2,54.83870967741935,54.83870967741935,2.2,2.8,78.57142857142858,1.4,3.3,4.6,1.9,1.1,1.2,1.5,2.7,9.0,"DPOY-3,6MOY-1",1982-83
James Donaldson,25.0,SEA,C,82.0,11.0,21.8,3.5,6.0,58.333333333333336,0.0,0.0,0.0,3.5,6.0,58.333333333333336,58.333333333333336,1.8,2.7,66.66666666666666,1.6,4.5,6.1,1.2,0.2,1.2,1.6,2.1,8.9,No Awards,1982-83
Edgar Jones,26.0,2TM,PF,77.0,28.0,21.5,3.1,6.2,50.0,0.0,0.1,0.0,3.1,6.1,50.81967213114754,50.0,2.6,3.7,70.27027027027027,1.8,4.1,5.8,1.2,0.5,1.4,1.9,3.5,8.8,No Awards,1982-83
Mark Olberding,26.0,CHI,PF,80.0,31.0,22.7,3.1,6.5,47.69230769230769,0.0,0.2,0.0,3.1,6.4,48.4375,47.69230769230769,2.4,3.1,77.41935483870968,1.4,3.1,4.5,1.6,0.6,0.1,1.9,3.1,8.7,No Awards,1982-83
Clemon Johnson,26.0,2TM,C,83.0,11.0,23.1,3.6,7.0,51.42857142857144,0.0,0.0,0.0,3.6,7.0,51.42857142857144,51.42857142857144,1.3,2.2,59.09090909090908,2.3,4.0,6.3,1.7,0.8,1.1,1.5,2.7,8.5,No Awards,1982-83
